QT	Question
Prognosis	How might neuronal intranuclear inclusion disease affect a person over time?
Management	How might pain caused by transverse myelitis be treated?
Management	How might scleroderma be treated?
Management	How might tyrosinemia type 2 be treated?
Prognosis	Is five months a significant period of time with regard to the growth of such a tumor?
Prognosis	How quickly do desmoid tumors typically progress?
Susceptibility	How rare is adult-onset vitelliform macular dystrophy?
Susceptibility	How rare is autoimmune polyglandular syndrome type 1?
Prognosis	Can affected individuals die from this condition?
Susceptibility	How rare is Bannayan-Riley-Ruvalcaba syndrome?
Susceptibility	How rare is Barakat syndrome?
PersonOrg	What kind of doctor would perform this surgery?
Management	Is surgery the best treatment?
Susceptibility	How rare is Eagle syndrome?
Susceptibility	How rare is hypopituitarism?
Susceptibility	How is this condition inherited?
Susceptibility	How rare is multiple endocrine neoplasia type 2A?
Susceptibility	How rare is Pelizaeus-Merzbacher disease?
Susceptibility	What percentage of people with ocular coloboma have retinochoroidal?
Susceptibility	How rare is retinochoroidal coloboma?
Susceptibility	How many Americans are diagnosed with it?
Susceptibility	How rare is this disease?
Management	How should patients with Birt Hogg Dube syndrome be monitored (i.e. for kidney tumors)?
Prognosis	Is it possible to live a normal life?
Prognosis	When is it known how severely an individual is affected?
Diagnosis	How soon after birth can this be diagnosed?
Susceptibility	Is there a chance of passing this condition along to my children?
Other	Who first described it?
Other	How was hepatic encephalopathy discovered?
PersonOrg	Who can I talk to?
Manifestation	I'd like to know if the symptoms I am experiencing are due to this condition.
Management	Please suggest how I might get rid of it so I can enjoy my life.
NotDisease	What are the consequences of spleen removal surgery?
OtherEffect	Can I have a healthy pregnancy with my condition?
Management	I would like to know what is the best treatment option for my problem.
Susceptibility	I am wondering if you can explain the role of genetics and the bifid nose.
Diagnosis	How can I find out if I have dwarfism or any other condition?
Management	May I ask you to help me or to guide me so I can treat this illness?
Management	Is there a way to cure the symptoms of the syndrome?
Management	Is there a way to halt the symptoms of the syndrome?
Diagnosis	Could you tell me how this condition is diagnosed?
Information	I would like to learn more about this condition.
Prognosis	I would like to learn what the prognosis is for a baby born with it.
PersonOrg	How do I go about finding spine specialists who have worked with this condition?
Information	I'm looking for more information.
Information	I'm looking for what should be the next step to follow.
Diagnosis	Should my children have a blood test to see if they are also carriers?
Manifestation	Can carrier females of Duchenne muscular dystrophy exhibit symptoms?
Information	Can you provide this and direct me to some appropriate resources?
Information	Can you provide us with information about this condition?
Information	Would you be able to point me to any other source of information (besides FIRST) where I can find information to pass along to this family?
Prognosis	Will she eventually go completely blind?
Prognosis	She continues to gain new skills, but will she at some point show a regression in skills?
Prognosis	What is the life expectancy for a child with this diagnosis?
Manifestation	How does this condition manifest?
Susceptibility	How does this impact future siblings?
Susceptibility	Does this mean that male children are at risk?
Information	Is it X-linked?
Susceptibility	Has it been determined that pentalogy of Cantrell is genetic?
Manifestation	I am seeking information about the symptoms.
Cause	I am seeking information about the cause(s).
Prognosis	I am seeking information about the prognosis.
Susceptibility	I am seeking information about the genetic association.
Management	I am seeking information about the treatment.
PersonOrg	Could your agency send me a list of practicing physicians and clinics with expertise in this area?
PersonOrg	I want to locate a specialist in Rett syndrome genetics.
Management	While I have seen progress with the exercises we are doing, I am looking for more information regarding the types of exercises that are found to be most effective.
Management	While I have seen progress with the exercises we are doing, I am looking for more information regarding certain exercises that should be avoided.
Information	Can you provide me with patient-friendly information about this condition?
Information	I would like to learn more about the disease.
Management	I would like to learn what we can do to make this student as comfortable as possible.
Susceptibility	Are his fungal infections contagious to other students and staff?
